Strategy report
Symbol: /ES:XCME
Work Time: 11/11/20, 7:30 AM - 7/29/21, 1:30 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
10271;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,166.25;4/22/21, 10:20 AM;$112.50;$1,462,662.50;-50.0;
10272;shared_kg_EveryTickOHLC(OHLC|4,164.75|4,166|4,162.75|4,163);Buy to Open;1;50.0;$4,164.00;4/22/21, 10:20 AM;;$1,462,612.50;0.0;
10273;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,166.00;4/22/21, 10:30 AM;$162.50;$1,462,625.00;-50.0;
10274;shared_kg_EveryTickOHLC(OHLC|4,163|4,168.5|4,161|4,165.75);Buy to Open;1;50.0;$4,162.75;4/22/21, 10:30 AM;;$1,462,775.00;0.0;
10275;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,168.50;4/22/21, 10:40 AM;$375.00;$1,462,950.00;-50.0;
10276;shared_kg_EveryTickOHLC(OHLC|4,166|4,166|4,164.25|4,165);Buy to Open;1;50.0;$4,161.00;4/22/21, 10:40 AM;;$1,463,150.00;0.0;
10277;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,166.00;4/22/21, 10:50 AM;$87.50;$1,463,212.50;-50.0;
10278;shared_kg_EveryTickOHLC(OHLC|4,165.25|4,167|4,164|4,164.75);Buy to Open;1;50.0;$4,164.25;4/22/21, 10:50 AM;;$1,463,237.50;0.0;
10279;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,167.00;4/22/21, 11:00 AM;$150.00;$1,463,475.00;-50.0;
10280;shared_kg_EveryTickOHLC(OHLC|4,165|4,165.25|4,161.5|4,162.25);Buy to Open;1;50.0;$4,164.00;4/22/21, 11:00 AM;;$1,463,387.50;0.0;
10281;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,165.25;4/22/21, 11:10 AM;$187.50;$1,463,425.00;-50.0;
10282;shared_kg_EveryTickOHLC(OHLC|4,162.25|4,165|4,161.5|4,164.5);Buy to Open;1;50.0;$4,161.50;4/22/21, 11:10 AM;;$1,463,575.00;0.0;
10283;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,165.00;4/22/21, 11:20 AM;$175.00;$1,463,437.50;-50.0;
10284;shared_kg_EveryTickOHLC(OHLC|4,164.75|4,168|4,164.75|4,167.75);Buy to Open;1;50.0;$4,161.50;4/22/21, 11:20 AM;;$1,463,750.00;0.0;
10285;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,168.00;4/22/21, 11:30 AM;$162.50;$1,463,662.50;-50.0;
10286;shared_kg_EveryTickOHLC(OHLC|4,167.75|4,170.5|4,167.5|4,169.75);Buy to Open;1;50.0;$4,164.75;4/22/21, 11:30 AM;;$1,463,912.50;0.0;
10287;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,170.50;4/22/21, 11:40 AM;$150.00;$1,463,950.00;-50.0;
10288;shared_kg_EveryTickOHLC(OHLC|4,170|4,170|4,169|4,169.75);Buy to Open;1;50.0;$4,167.50;4/22/21, 11:40 AM;;$1,464,062.50;0.0;
10289;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,170.00;4/22/21, 11:50 AM;$50.00;$1,464,000.00;-50.0;
10290;shared_kg_EveryTickOHLC(OHLC|4,169.75|4,171.5|4,169.25|4,171.25);Buy to Open;1;50.0;$4,169.00;4/22/21, 11:50 AM;;$1,464,112.50;0.0;
10291;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,171.50;4/22/21, 12:00 PM;$112.50;$1,464,962.50;-50.0;
10292;shared_kg_EveryTickOHLC(OHLC|4,171.5|4,171.75|4,150|4,154.5);Buy to Open;1;50.0;$4,169.25;4/22/21, 12:00 PM;;$1,464,225.00;0.0;
10293;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,171.75;4/22/21, 12:10 PM;$1,087.50;$1,465,962.50;-50.0;
10294;shared_kg_EveryTickOHLC(OHLC|4,154.5|4,154.75|4,135.75|4,137);Buy to Open;1;50.0;$4,150.00;4/22/21, 12:10 PM;;$1,465,312.50;0.0;
10295;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,154.75;4/22/21, 12:20 PM;$950.00;$1,465,512.50;-50.0;
10296;shared_kg_EveryTickOHLC(OHLC|4,137|4,152.25|4,135.5|4,150.75);Buy to Open;1;50.0;$4,135.75;4/22/21, 12:20 PM;;$1,466,262.50;0.0;
10297;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,152.25;4/22/21, 12:30 PM;$837.50;$1,466,537.50;-50.0;
10298;shared_kg_EveryTickOHLC(OHLC|4,150.75|4,151.75|4,143.5|4,146.75);Buy to Open;1;50.0;$4,135.50;4/22/21, 12:30 PM;;$1,467,100.00;0.0;
10299;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,151.75;4/22/21, 12:40 PM;$412.50;$1,468,187.50;-50.0;
10300;shared_kg_EveryTickOHLC(OHLC|4,146.75|4,146.75|4,127.5|4,130);Buy to Open;1;50.0;$4,143.50;4/22/21, 12:40 PM;;$1,467,512.50;0.0;
10301;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,146.75;4/22/21, 12:50 PM;$962.50;$1,468,750.00;-50.0;
10302;shared_kg_EveryTickOHLC(OHLC|4,130|4,130.75|4,118.75|4,122);Buy to Open;1;50.0;$4,127.50;4/22/21, 12:50 PM;;$1,468,475.00;0.0;
10303;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,130.75;4/22/21, 1:00 PM;$600.00;$1,468,725.00;-50.0;
10304;shared_kg_EveryTickOHLC(OHLC|4,122|4,127.5|4,115.25|4,125.75);Buy to Open;1;50.0;$4,118.75;4/22/21, 1:00 PM;;$1,469,075.00;0.0;
10305;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,127.50;4/22/21, 1:10 PM;$612.50;$1,469,012.50;-50.0;
10306;shared_kg_EveryTickOHLC(OHLC|4,125.75|4,129.5|4,122.25|4,128.75);Buy to Open;1;50.0;$4,115.25;4/22/21, 1:10 PM;;$1,469,687.50;0.0;
10307;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,129.50;4/22/21, 1:20 PM;$362.50;$1,469,425.00;-50.0;
10308;shared_kg_EveryTickOHLC(OHLC|4,128.75|4,135|4,124.5|4,134.75);Buy to Open;1;50.0;$4,122.25;4/22/21, 1:20 PM;;$1,470,050.00;0.0;
10309;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,135.00;4/22/21, 1:30 PM;$525.00;$1,470,137.50;-50.0;
10310;shared_kg_EveryTickOHLC(OHLC|4,134.75|4,135|4,131.5|4,133.25);Buy to Open;1;50.0;$4,124.50;4/22/21, 1:30 PM;;$1,470,575.00;0.0;
10311;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,135.00;4/22/21, 1:40 PM;$175.00;$1,470,550.00;-50.0;
10312;shared_kg_EveryTickOHLC(OHLC|4,133|4,138.5|4,131.75|4,135.5);Buy to Open;1;50.0;$4,131.50;4/22/21, 1:40 PM;;$1,470,750.00;0.0;
10313;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,138.50;4/22/21, 1:50 PM;$337.50;$1,470,975.00;-50.0;
10314;shared_kg_EveryTickOHLC(OHLC|4,135.75|4,138|4,132.5|4,134);Buy to Open;1;50.0;$4,131.75;4/22/21, 1:50 PM;;$1,471,087.50;0.0;
10315;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,138.00;4/22/21, 2:00 PM;$275.00;$1,471,637.50;-50.0;
10316;shared_kg_EveryTickOHLC(OHLC|4,134|4,138.5|4,126.25|4,127);Buy to Open;1;50.0;$4,132.50;4/22/21, 2:00 PM;;$1,471,362.50;0.0;
10317;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,138.50;4/22/21, 2:10 PM;$612.50;$1,472,037.50;-50.0;
10318;shared_kg_EveryTickOHLC(OHLC|4,127|4,130|4,122.5|4,125);Buy to Open;1;50.0;$4,126.25;4/22/21, 2:10 PM;;$1,471,975.00;0.0;
10319;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,130.00;4/22/21, 2:20 PM;$375.00;$1,472,187.50;-50.0;
10320;shared_kg_EveryTickOHLC(OHLC|4,125|4,127|4,121.5|4,125.75);Buy to Open;1;50.0;$4,122.50;4/22/21, 2:20 PM;;$1,472,350.00;0.0;
10321;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,127.00;4/22/21, 2:30 PM;$275.00;$1,472,262.50;-50.0;
10322;shared_kg_EveryTickOHLC(OHLC|4,125.75|4,132.5|4,125|4,128.75);Buy to Open;1;50.0;$4,121.50;4/22/21, 2:30 PM;;$1,472,625.00;0.0;
10323;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,132.50;4/22/21, 2:40 PM;$375.00;$1,472,900.00;-50.0;
10324;shared_kg_EveryTickOHLC(OHLC|4,128.75|4,134.75|4,126.25|4,127);Buy to Open;1;50.0;$4,125.00;4/22/21, 2:40 PM;;$1,473,000.00;0.0;
10325;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,134.75;4/22/21, 2:50 PM;$425.00;$1,473,375.00;-50.0;
10326;shared_kg_EveryTickOHLC(OHLC|4,127.25|4,131|4,124.5|4,127.25);Buy to Open;1;50.0;$4,126.25;4/22/21, 2:50 PM;;$1,473,425.00;0.0;
10327;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,131.00;4/22/21, 3:00 PM;$325.00;$1,473,575.00;-50.0;
10328;shared_kg_EveryTickOHLC(OHLC|4,127.25|4,129.5|4,124|4,128);Buy to Open;1;50.0;$4,124.50;4/22/21, 3:00 PM;;$1,473,750.00;0.0;
10329;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,133.75;4/23/21, 7:30 AM;$187.50;$1,473,862.50;-50.0;
10330;shared_kg_EveryTickOHLC(OHLC|4,130.75|4,132.25|4,129.25|4,131.5);Buy to Open;1;50.0;$4,130.00;4/23/21, 7:30 AM;;$1,473,937.50;0.0;
10331;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,132.25;4/23/21, 7:40 AM;$150.00;$1,473,987.50;-50.0;
10332;shared_kg_EveryTickOHLC(OHLC|4,131.5|4,132.25|4,130.5|4,131.25);Buy to Open;1;50.0;$4,129.25;4/23/21, 7:40 AM;;$1,474,087.50;0.0;
10333;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,132.25;4/23/21, 7:50 AM;$87.50;$1,474,137.50;-50.0;
10334;shared_kg_EveryTickOHLC(OHLC|4,131.25|4,131.75|4,130.25|4,131.25);Buy to Open;1;50.0;$4,130.50;4/23/21, 7:50 AM;;$1,474,175.00;0.0;
10335;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,131.75;4/23/21, 8:00 AM;$75.00;$1,474,187.50;-50.0;
10336;shared_kg_EveryTickOHLC(OHLC|4,131|4,133|4,131|4,131.5);Buy to Open;1;50.0;$4,130.25;4/23/21, 8:00 AM;;$1,474,250.00;0.0;
10337;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,133.00;4/23/21, 8:10 AM;$100.00;$1,474,262.50;-50.0;
10338;shared_kg_EveryTickOHLC(OHLC|4,131.75|4,134.75|4,130.5|4,132.75);Buy to Open;1;50.0;$4,131.00;4/23/21, 8:10 AM;;$1,474,350.00;0.0;
10339;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,134.75;4/23/21, 8:20 AM;$212.50;$1,474,450.00;-50.0;
10340;shared_kg_EveryTickOHLC(OHLC|4,132.5|4,133.75|4,132.5|4,132.75);Buy to Open;1;50.0;$4,130.50;4/23/21, 8:20 AM;;$1,474,562.50;0.0;
10341;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,133.75;4/23/21, 8:30 AM;$62.50;$1,474,462.50;-50.0;
10342;shared_kg_EveryTickOHLC(OHLC|4,132.75|4,138.5|4,131.75|4,135.75);Buy to Open;1;50.0;$4,132.50;4/23/21, 8:30 AM;;$1,474,625.00;0.0;
10343;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,138.50;4/23/21, 8:40 AM;$337.50;$1,474,587.50;-50.0;
10344;shared_kg_EveryTickOHLC(OHLC|4,136|4,139.5|4,133.25|4,139.25);Buy to Open;1;50.0;$4,131.75;4/23/21, 8:40 AM;;$1,474,962.50;0.0;
10345;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,139.50;4/23/21, 8:50 AM;$312.50;$1,474,650.00;-50.0;
10346;shared_kg_EveryTickOHLC(OHLC|4,139.25|4,146|4,138.75|4,145.75);Buy to Open;1;50.0;$4,133.25;4/23/21, 8:50 AM;;$1,475,275.00;0.0;
10347;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,146.00;4/23/21, 9:00 AM;$362.50;$1,475,212.50;-50.0;
10348;shared_kg_EveryTickOHLC(OHLC|4,145.75|4,148.75|4,145|4,147.25);Buy to Open;1;50.0;$4,138.75;4/23/21, 9:00 AM;;$1,475,637.50;0.0;
10349;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,148.75;4/23/21, 9:10 AM;$187.50;$1,475,775.00;-50.0;
10350;shared_kg_EveryTickOHLC(OHLC|4,147.25|4,148.5|4,145.75|4,146);Buy to Open;1;50.0;$4,145.00;4/23/21, 9:10 AM;;$1,475,825.00;0.0;
10351;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,148.50;4/23/21, 9:20 AM;$137.50;$1,475,887.50;-50.0;
10352;shared_kg_EveryTickOHLC(OHLC|4,146.25|4,148|4,144.75|4,147.25);Buy to Open;1;50.0;$4,145.75;4/23/21, 9:20 AM;;$1,475,962.50;0.0;
10353;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,148.00;4/23/21, 9:30 AM;$162.50;$1,475,612.50;-50.0;
10354;shared_kg_EveryTickOHLC(OHLC|4,147.5|4,156.5|4,146.25|4,155);Buy to Open;1;50.0;$4,144.75;4/23/21, 9:30 AM;;$1,476,125.00;0.0;
10355;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,156.50;4/23/21, 9:40 AM;$512.50;$1,476,100.00;-50.0;
10356;shared_kg_EveryTickOHLC(OHLC|4,155|4,158.75|4,153.75|4,157);Buy to Open;1;50.0;$4,146.25;4/23/21, 9:40 AM;;$1,476,637.50;0.0;
10357;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,158.75;4/23/21, 9:50 AM;$250.00;$1,476,387.50;-50.0;
10358;shared_kg_EveryTickOHLC(OHLC|4,157|4,164.5|4,156|4,163.75);Buy to Open;1;50.0;$4,153.75;4/23/21, 9:50 AM;;$1,476,887.50;0.0;
10359;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,164.50;4/23/21, 10:00 AM;$425.00;$1,477,087.50;-50.0;
10360;shared_kg_EveryTickOHLC(OHLC|4,164|4,164.5|4,160.25|4,160.5);Buy to Open;1;50.0;$4,156.00;4/23/21, 10:00 AM;;$1,477,312.50;0.0;
10361;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,164.50;4/23/21, 10:10 AM;$212.50;$1,477,212.50;-50.0;
10362;shared_kg_EveryTickOHLC(OHLC|4,160.25|4,167.25|4,160.25|4,166.5);Buy to Open;1;50.0;$4,160.25;4/23/21, 10:10 AM;;$1,477,525.00;0.0;
10363;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,167.25;4/23/21, 10:20 AM;$350.00;$1,477,600.00;-50.0;
10364;shared_kg_EveryTickOHLC(OHLC|4,166.25|4,167.5|4,165.5|4,165.75);Buy to Open;1;50.0;$4,160.25;4/23/21, 10:20 AM;;$1,477,875.00;0.0;
10365;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,167.50;4/23/21, 10:30 AM;$100.00;$1,477,937.50;-50.0;
10366;shared_kg_EveryTickOHLC(OHLC|4,165.75|4,167.5|4,165.75|4,166.25);Buy to Open;1;50.0;$4,165.50;4/23/21, 10:30 AM;;$1,477,975.00;0.0;
10367;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,167.50;4/23/21, 10:40 AM;$87.50;$1,477,925.00;-50.0;
10368;shared_kg_EveryTickOHLC(OHLC|4,166.25|4,169|4,164.5|4,168.5);Buy to Open;1;50.0;$4,165.75;4/23/21, 10:40 AM;;$1,478,062.50;0.0;
10369;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,169.00;4/23/21, 10:50 AM;$225.00;$1,478,175.00;-50.0;
10370;shared_kg_EveryTickOHLC(OHLC|4,168.75|4,169|4,166.5|4,166.75);Buy to Open;1;50.0;$4,164.50;4/23/21, 10:50 AM;;$1,478,287.50;0.0;
10371;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,169.00;4/23/21, 11:00 AM;$125.00;$1,478,275.00;-50.0;
10372;shared_kg_EveryTickOHLC(OHLC|4,166.75|4,169.75|4,166.5|4,169.25);Buy to Open;1;50.0;$4,166.50;4/23/21, 11:00 AM;;$1,478,412.50;0.0;
10373;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,169.75;4/23/21, 11:10 AM;$162.50;$1,478,450.00;-50.0;
10374;shared_kg_EveryTickOHLC(OHLC|4,169|4,169.5|4,167.5|4,169);Buy to Open;1;50.0;$4,166.50;4/23/21, 11:10 AM;;$1,478,575.00;0.0;
10375;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,169.50;4/23/21, 11:20 AM;$100.00;$1,478,637.50;-50.0;
10376;shared_kg_EveryTickOHLC(OHLC|4,169|4,169.5|4,167.75|4,168.25);Buy to Open;1;50.0;$4,167.50;4/23/21, 11:20 AM;;$1,478,675.00;0.0;
10377;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,169.50;4/23/21, 11:30 AM;$87.50;$1,478,675.00;-50.0;
10378;shared_kg_EveryTickOHLC(OHLC|4,168.25|4,170.75|4,168.25|4,169.5);Buy to Open;1;50.0;$4,167.75;4/23/21, 11:30 AM;;$1,478,762.50;0.0;
10379;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,170.75;4/23/21, 11:40 AM;$125.00;$1,478,512.50;-50.0;
10380;shared_kg_EveryTickOHLC(OHLC|4,169.5|4,176|4,169.5|4,175.75);Buy to Open;1;50.0;$4,168.25;4/23/21, 11:40 AM;;$1,478,887.50;0.0;
10381;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,176.00;4/23/21, 11:50 AM;$325.00;$1,478,925.00;-50.0;
10382;shared_kg_EveryTickOHLC(OHLC|4,175.75|4,177|4,174.5|4,175.25);Buy to Open;1;50.0;$4,169.50;4/23/21, 11:50 AM;;$1,479,212.50;0.0;
10383;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,177.00;4/23/21, 12:00 PM;$125.00;$1,479,300.00;-50.0;
10384;shared_kg_EveryTickOHLC(OHLC|4,175.25|4,176|4,173.75|4,175.25);Buy to Open;1;50.0;$4,174.50;4/23/21, 12:00 PM;;$1,479,337.50;0.0;
10385;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,176.00;4/23/21, 12:10 PM;$112.50;$1,479,400.00;-50.0;
10386;shared_kg_EveryTickOHLC(OHLC|4,175.25|4,176|4,174.5|4,174.75);Buy to Open;1;50.0;$4,173.75;4/23/21, 12:10 PM;;$1,479,450.00;0.0;
10387;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,176.00;4/23/21, 12:20 PM;$75.00;$1,479,525.00;-50.0;
10388;shared_kg_EveryTickOHLC(OHLC|4,174.75|4,175.25|4,173|4,174.5);Buy to Open;1;50.0;$4,174.50;4/23/21, 12:20 PM;;$1,479,525.00;0.0;
10389;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,175.25;4/23/21, 12:30 PM;$112.50;$1,479,475.00;-50.0;
10390;shared_kg_EveryTickOHLC(OHLC|4,174.75|4,176.5|4,174.5|4,176.25);Buy to Open;1;50.0;$4,173.00;4/23/21, 12:30 PM;;$1,479,637.50;0.0;
10391;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,176.50;4/23/21, 12:40 PM;$100.00;$1,479,700.00;-50.0;
10392;shared_kg_EveryTickOHLC(OHLC|4,176.5|4,178|4,175|4,175.25);Buy to Open;1;50.0;$4,174.50;4/23/21, 12:40 PM;;$1,479,737.50;0.0;
10393;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,178.00;4/23/21, 12:50 PM;$150.00;$1,479,925.00;-50.0;
10394;shared_kg_EveryTickOHLC(OHLC|4,175.5|4,175.75|4,174|4,174.25);Buy to Open;1;50.0;$4,175.00;4/23/21, 12:50 PM;;$1,479,887.50;0.0;
10395;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,175.75;4/23/21, 1:00 PM;$87.50;$1,479,887.50;-50.0;
10396;shared_kg_EveryTickOHLC(OHLC|4,174.25|4,176.5|4,174|4,175.75);Buy to Open;1;50.0;$4,174.00;4/23/21, 1:00 PM;;$1,479,975.00;0.0;
10397;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,176.50;4/23/21, 1:10 PM;$125.00;$1,480,112.50;-50.0;
10398;shared_kg_EveryTickOHLC(OHLC|4,175.75|4,176.75|4,173.5|4,173.75);Buy to Open;1;50.0;$4,174.00;4/23/21, 1:10 PM;;$1,480,100.00;0.0;
10399;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,176.75;4/23/21, 1:20 PM;$162.50;$1,480,225.00;-50.0;
10400;shared_kg_EveryTickOHLC(OHLC|4,173.75|4,174.5|4,171.75|4,174.25);Buy to Open;1;50.0;$4,173.50;4/23/21, 1:20 PM;;$1,480,262.50;0.0;
10401;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,174.50;4/23/21, 1:30 PM;$137.50;$1,480,275.00;-50.0;
10402;shared_kg_EveryTickOHLC(OHLC|4,174.25|4,175|4,173.25|4,174.25);Buy to Open;1;50.0;$4,171.75;4/23/21, 1:30 PM;;$1,480,400.00;0.0;
10403;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,175.00;4/23/21, 1:40 PM;$87.50;$1,480,337.50;-50.0;
10404;shared_kg_EveryTickOHLC(OHLC|4,174.5|4,176.5|4,174.25|4,176.25);Buy to Open;1;50.0;$4,173.25;4/23/21, 1:40 PM;;$1,480,487.50;0.0;
10405;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,176.50;4/23/21, 1:50 PM;$112.50;$1,480,425.00;-50.0;
10406;shared_kg_EveryTickOHLC(OHLC|4,176.25|4,179.75|4,176|4,177.75);Buy to Open;1;50.0;$4,174.25;4/23/21, 1:50 PM;;$1,480,600.00;0.0;
10407;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,179.75;4/23/21, 2:00 PM;$187.50;$1,480,687.50;-50.0;
10408;shared_kg_EveryTickOHLC(OHLC|4,177.75|4,179|4,176|4,178);Buy to Open;1;50.0;$4,176.00;4/23/21, 2:00 PM;;$1,480,787.50;0.0;
10409;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,179.00;4/23/21, 2:10 PM;$150.00;$1,480,750.00;-50.0;
10410;shared_kg_EveryTickOHLC(OHLC|4,178|4,180|4,177.75|4,179.75);Buy to Open;1;50.0;$4,176.00;4/23/21, 2:10 PM;;$1,480,937.50;0.0;
10411;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,180.00;4/23/21, 2:20 PM;$112.50;$1,480,837.50;-50.0;
10412;shared_kg_EveryTickOHLC(OHLC|4,179.75|4,182.75|4,179.25|4,182);Buy to Open;1;50.0;$4,177.75;4/23/21, 2:20 PM;;$1,481,050.00;0.0;
10413;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,182.75;4/23/21, 2:30 PM;$175.00;$1,481,000.00;-50.0;
10414;shared_kg_EveryTickOHLC(OHLC|4,181.75|4,186.75|4,181.75|4,183.75);Buy to Open;1;50.0;$4,179.25;4/23/21, 2:30 PM;;$1,481,225.00;0.0;
10415;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,186.75;4/23/21, 2:40 PM;$250.00;$1,481,712.50;-50.0;
10416;shared_kg_EveryTickOHLC(OHLC|4,183.75|4,184|4,176|4,177);Buy to Open;1;50.0;$4,181.75;4/23/21, 2:40 PM;;$1,481,475.00;0.0;
10417;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,184.00;4/23/21, 2:50 PM;$400.00;$1,482,137.50;-50.0;
10418;shared_kg_EveryTickOHLC(OHLC|4,177|4,178.25|4,170.5|4,170.75);Buy to Open;1;50.0;$4,176.00;4/23/21, 2:50 PM;;$1,481,875.00;0.0;
10419;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,178.25;4/23/21, 3:00 PM;$387.50;$1,482,412.50;-50.0;
10420;shared_kg_EveryTickOHLC(OHLC|4,171|4,172.5|4,167.25|4,167.5);Buy to Open;1;50.0;$4,170.50;4/23/21, 3:00 PM;;$1,482,262.50;0.0;
10421;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,172.50;4/26/21, 7:30 AM;$112.50;$1,482,287.50;-50.0;
10422;shared_kg_EveryTickOHLC(OHLC|4,171.5|4,172.25|4,170|4,172);Buy to Open;1;50.0;$4,170.25;4/26/21, 7:30 AM;;$1,482,375.00;0.0;
10423;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,172.25;4/26/21, 7:40 AM;$112.50;$1,482,375.00;-50.0;
10424;shared_kg_EveryTickOHLC(OHLC|4,172|4,173|4,171.25|4,172.25);Buy to Open;1;50.0;$4,170.00;4/26/21, 7:40 AM;;$1,482,487.50;0.0;
10425;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,173.00;4/26/21, 7:50 AM;$87.50;$1,482,537.50;-50.0;
10426;shared_kg_EveryTickOHLC(OHLC|4,172|4,174|4,172|4,172);Buy to Open;1;50.0;$4,171.25;4/26/21, 7:50 AM;;$1,482,575.00;0.0;
10427;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,174.00;4/26/21, 8:00 AM;$100.00;$1,482,600.00;-50.0;
10428;shared_kg_EveryTickOHLC(OHLC|4,172.25|4,174|4,172|4,173.5);Buy to Open;1;50.0;$4,172.00;4/26/21, 8:00 AM;;$1,482,675.00;0.0;
10429;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$4,174.00;4/26/21, 8:10 AM;$100.00;$1,482,700.00;-50.0;
