Date,Open,High,Low,Close/Last,close-1,close-2,close-3,close-4,close-5,5MA,13MA,20MA,26MA,50MA,trend
7/1/2016,2099.34,2108.71,2097.9,2102.95,2098.86,2070.77,2036.09,2000.54,2113.32,2061.842,2072.173077,2083.04619,2085.949231,2076.6492,-1
6/30/2016,2073.17,2098.94,2070,2098.86,2070.77,2036.09,2000.54,2037.41,2085.45,2048.734,2070.047692,2083.15619,2085.471923,2076.4198,1
6/29/2016,2042.69,2073.13,2042.69,2070.77,2036.09,2000.54,2037.41,2113.32,2088.9,2051.626,2068.524615,2083.178571,2084.595,2076.4906,1
6/28/2016,2006.67,2036.09,2006.67,2036.09,2000.54,2037.41,2113.32,2085.45,2083.25,2054.562,2070.470769,2084.425714,2083.720769,2077.0912,1
6/27/2016,2031.45,2031.45,1991.68,2000.54,2037.41,2113.32,2085.45,2088.9,2071.22,2065.124,2076.577692,2087.424286,2084.345,2078.2562,1
6/24/2016,2103.81,2103.81,2032.57,2037.41,2113.32,2085.45,2088.9,2083.25,2077.99,2081.666,2085.699231,2091.689048,2085.864231,2079.86,-1
6/23/2016,2092.8,2113.32,2092.8,2113.32,2085.45,2088.9,2083.25,2071.22,2071.5,2088.428,2091.446923,2094.219048,2086.257308,2080.7674,-1
6/22/2016,2089.75,2099.71,2084.36,2085.45,2088.9,2083.25,2071.22,2077.99,2075.32,2081.362,2091.146154,2092.444762,2083.714615,2080.1494,1
6/21/2016,2085.19,2093.66,2083.02,2088.9,2083.25,2071.22,2077.99,2071.5,2079.06,2078.572,2092.198462,2090.663333,2082.991923,2079.6748,-1
6/20/2016,2075.58,2100.66,2075.58,2083.25,2071.22,2077.99,2071.5,2075.32,2096.07,2075.856,2093.456923,2088.921429,2081.365385,2078.7366,1
6/17/2016,2078.2,2078.2,2062.84,2071.22,2077.99,2071.5,2075.32,2079.06,2115.48,2075.018,2094.693846,2086.86381,2080.629231,2078.0236,1
6/16/2016,2066.36,2079.62,2050.37,2077.99,2071.5,2075.32,2079.06,2096.07,2119.12,2079.988,2096.673846,2085.740476,2080.369231,2077.4374,-1
6/15/2016,2077.6,2085.65,2069.8,2071.5,2075.32,2079.06,2096.07,2115.48,2112.13,2087.486,2098.294615,2084.274762,2080.615385,2077.2108,1
6/14/2016,2076.65,2081.3,2064.1,2075.32,2079.06,2096.07,2115.48,2119.12,2109.41,2097.01,2099.725385,2084.044286,2080.122692,2076.6842,-1
6/13/2016,2091.75,2098.12,2078.46,2079.06,2096.07,2115.48,2119.12,2112.13,2099.13,2104.372,2100.896154,2082.677143,2079.423462,2076.5004,-1
6/10/2016,2109.57,2109.57,2089.96,2096.07,2115.48,2119.12,2112.13,2109.41,2105.26,2110.442,2100.665385,2081.965238,2078.33,2076.3748,-1
6/9/2016,2115.65,2117.64,2107.73,2115.48,2119.12,2112.13,2109.41,2099.13,2099.33,2111.054,2096.970769,2080.46,2076.601154,2075.6482,-1
6/8/2016,2112.71,2120.55,2112.71,2119.12,2112.13,2109.41,2099.13,2105.26,2096.96,2109.01,2092.112308,2078.979524,2074.596923,2074.6176,-1
6/7/2016,2110.18,2119.22,2110.18,2112.13,2109.41,2099.13,2105.26,2099.33,2099.06,2105.052,2086.029231,2076.101905,2073.147308,2073.3354,1
6/6/2016,2100.83,2113.36,2100.83,2109.41,2099.13,2105.26,2099.33,2096.96,2090.1,2102.018,2081.067692,2073.483333,2071.346154,2071.8338,1
6/3/2016,2104.07,2104.07,2085.36,2099.13,2105.26,2099.33,2096.96,2099.06,2090.54,2099.948,2076.283077,2070.684286,2070.053846,2070.3644,1
6/2/2016,2097.71,2105.26,2088.59,2105.26,2099.33,2096.96,2099.06,2090.1,2076.06,2098.142,2073.785385,2068.398095,2069.900769,2069.116,-1
6/1/2016,2093.94,2100.97,2085.1,2099.33,2096.96,2099.06,2090.1,2090.54,2048.04,2095.198,2069.273846,2066.403333,2069.379231,2068.0068,1
5/31/2016,2100.13,2103.48,2088.66,2096.96,2099.06,2090.1,2090.54,2076.06,2052.32,2090.544,2066.564615,2065.550952,2068.935385,2067.0522,1
5/27/2016,2090.06,2099.06,2090.06,2099.06,2090.1,2090.54,2076.06,2048.04,2040.04,2080.76,2064.064615,2064.043333,2068.728462,2066.1046,-1
5/26/2016,2091.44,2094.3,2087.08,2090.1,2090.54,2076.06,2048.04,2052.32,2047.63,2071.412,2062.936154,2062.93619,2068.436923,2064.9352,1
5/25/2016,2078.93,2094.73,2078.93,2090.54,2076.06,2048.04,2052.32,2040.04,2047.21,2061.4,2060.52,2063.176667,2068.91,2063.6776,-1
5/24/2016,2052.65,2079.67,2052.65,2076.06,2048.04,2052.32,2040.04,2047.63,2066.66,2052.818,2057.950769,2063.231905,2069.304615,2062.1854,1
5/23/2016,2052.23,2055.58,2047.26,2048.04,2052.32,2040.04,2047.63,2047.21,2046.61,2047.048,2055.994615,2063.790476,2070.007692,2061.057,1
5/20/2016,2041.88,2058.35,2041.88,2052.32,2040.04,2047.63,2047.21,2066.66,2064.11,2050.772,2056.231538,2065.86381,2071.265,2060.54,-1
5/19/2016,2044.21,2044.21,2025.91,2040.04,2047.63,2047.21,2066.66,2046.61,2064.46,2049.63,2057.081538,2067.728571,2072.436538,2059.285,1
5/18/2016,2044.38,2060.61,2034.49,2047.63,2047.21,2066.66,2046.61,2064.11,2084.39,2054.444,2060.265385,2070.698095,2074.066538,2058.2694,-1
5/17/2016,2065.04,2065.69,2040.82,2047.21,2066.66,2046.61,2064.11,2064.46,2058.69,2057.81,2061.624615,2073.23,2074.608462,2056.902,1
5/16/2016,2046.53,2071.88,2046.53,2066.66,2046.61,2064.11,2064.46,2084.39,2057.14,2065.246,2063.824615,2075.474286,2074.407692,2055.993,-1
5/13/2016,2062.5,2066.79,2043.13,2046.61,2064.11,2064.46,2084.39,2058.69,2050.63,2063.652,2066.016154,2076.144286,2073.674615,2054.6596,1
5/12/2016,2067.17,2073.99,2053.13,2064.11,2064.46,2084.39,2058.69,2057.14,2051.12,2065.758,2069.484615,2077.866667,2073.493846,2053.5954,-1
5/11/2016,2083.29,2083.29,2064.46,2064.46,2084.39,2058.69,2057.14,2050.63,2063.37,2063.062,2071.306154,2078.738571,2073.591923,2052.0422,-1
5/10/2016,2062.63,2084.87,2062.63,2084.39,2058.69,2057.14,2050.63,2051.12,2081.43,2060.394,2073.392308,2078.608095,2072.85,2050.32,-1
5/9/2016,2057.55,2064.15,2054.31,2058.69,2057.14,2050.63,2051.12,2063.37,2065.3,2056.19,2073.937692,2076.589048,2072.147692,2047.2768,1
5/6/2016,2047.77,2057.72,2039.45,2057.14,2050.63,2051.12,2063.37,2081.43,2075.81,2060.738,2077.3,2076.060952,2072.689615,2045.064,1
5/5/2016,2052.95,2060.23,2045.77,2050.63,2051.12,2063.37,2081.43,2065.3,2095.15,2062.37,2080.658462,2075.335714,2072.789615,2042.9552,1
5/4/2016,2060.3,2060.3,2045.55,2051.12,2063.37,2081.43,2065.3,2075.81,2091.7,2067.406,2084.020769,2076.099048,2073.301923,2040.5386,-1
5/3/2016,2077.18,2077.18,2054.89,2063.37,2081.43,2065.3,2075.81,2095.15,2087.79,2076.212,2086.298462,2075.815714,2073.451538,2037.9416,-1
5/2/2016,2067.17,2083.42,2066.11,2081.43,2065.3,2075.81,2095.15,2091.7,2091.58,2081.878,2087.791538,2075.947143,2072.439231,2035.5842,-1
4/29/2016,2071.82,2073.85,2052.28,2065.3,2075.81,2095.15,2091.7,2087.79,2091.48,2083.15,2087.867692,2075.535238,2070.689615,2032.3112,1
4/28/2016,2090.93,2099.3,2071.62,2075.81,2095.15,2091.7,2087.79,2091.58,2102.4,2088.406,2087.592308,2075.270476,2069.59,2029.3618,-1
4/27/2016,2092.33,2099.89,2082.31,2095.15,2091.7,2087.79,2091.58,2091.48,2100.8,2091.54,2084.990769,2074.705714,2068.589615,2026.382,-1
4/26/2016,2089.84,2096.87,2085.8,2091.7,2087.79,2091.58,2091.48,2102.4,2094.34,2092.99,2081.333077,2072.794286,2066.914615,2022.3906,1
4/25/2016,2089.37,2089.37,2077.52,2087.79,2091.58,2091.48,2102.4,2100.8,2080.73,2094.81,2077.503077,2070.191905,2065.294615,2017.8522,1
4/22/2016,2091.49,2094.32,2081.2,2091.58,2091.48,2102.4,2100.8,2094.34,2082.78,2096.12,2075.877692,2067.722857,2063.479231,2012.678,-1
4/21/2016,2102.09,2103.78,2088.52,2091.48,2102.4,2100.8,2094.34,2080.73,2082.42,2093.95,2072.307692,2065.11,2061.003846,2007.8836,1
4/20/2016,2101.52,2111.05,2096.32,2102.4,2100.8,2094.34,2080.73,2082.78,2061.72,2092.21,2070.357692,2063.125238,2058.098077,2003.0982,-1
4/19/2016,2096.05,2104.05,2091.68,2100.8,2094.34,2080.73,2082.78,2082.42,2041.99,2088.214,2068.079231,2060.70619,2054.915,1998.119,1
